trade_id,timestamp,symbol,side,shares,price,value,reason,lot_id,notes
2c0b07d1-e403-48cd-8e5a-2abc1fe54c28,2025-01-02,NVDA,BUY,1400.788265,138.2722,193690.075135733,INITIAL_PURCHASE,,Initial allocation at 19.5647% weight
6619a1b3-3153-4768-864a-7defd9028594,2025-01-02,AAPL,BUY,681.643244,242.7521,165470.3289318124,INITIAL_PURCHASE,,Initial allocation at 16.7142% weight
3d09fc99-d9bf-4f7e-8d69-0bef11286825,2025-01-02,MSFT,BUY,369.82881,415.5148,153669.344021388,INITIAL_PURCHASE,,Initial allocation at 15.5222% weight
2003abd7-658b-426b-975a-ac565cabe77e,2025-01-02,AMZN,BUY,471.800808,220.22,103899.97393776,INITIAL_PURCHASE,,Initial allocation at 10.4949% weight
ba79ad98-b793-4c85-9ed3-3d0078e8f562,2025-01-02,GOOGL,BUY,436.429664,188.691,82350.349729824,INITIAL_PURCHASE,,Initial allocation at 8.3182% weight
6bca2fb9-fd2f-414d-b75a-05d7d3d8f204,2025-01-02,AVGO,BUY,305.754167,229.8998,70292.8218424666,INITIAL_PURCHASE,,Initial allocation at 7.1003% weight
bb0bd93b-56e1-4ad3-9c8d-eb3a5f242daf,2025-01-02,GOOG,BUY,347.208096,189.8907,65931.5883951072,INITIAL_PURCHASE,,Initial allocation at 6.6598% weight
488d64e2-8186-4833-82a8-a79dca9ee714,2025-01-02,META,BUY,102.641926,597.3564,61313.8114044264,INITIAL_PURCHASE,,Initial allocation at 6.1933% weight
306c2354-609a-48ea-85a0-1e90dee6b943,2025-01-02,TSLA,BUY,142.042977,379.28,53874.06031656,INITIAL_PURCHASE,,Initial allocation at 5.4418% weight
ab3d4292-ead5-4005-91cc-8edb7963cefa,2025-01-02,BRK-B,BUY,87.580679,451.1,39507.6442969,INITIAL_PURCHASE,,Initial allocation at 3.9907% weight
956fb428-4c85-4bf6-b8e9-67d46a698bbd,2025-01-10,AVGO,SELL,305.754167,222.2985,67968.6926928495,TLH_SELL,5b3ec943-050b-4b3e-9291-a2113efd3998,"TLH harvest, loss $2324.13"
8dd31ad6-4f1f-4f23-9b6d-cadd292b6bf1,2025-01-10,AVGO,BUY,317.572117,222.2985,70595.8052509245,REBALANCE_BUY,,"Rebalance buy, drift -7.1003%"
fa1093bf-4b24-46e3-bf97-ec108ebb1dee,2025-01-17,AAPL,SELL,681.643244,228.9445,156058.471675958,TLH_SELL,95225974-758e-44d0-b81b-e2782ddfba7e,"TLH harvest, loss $9411.86"
18eba632-a001-4f5c-b0e5-603de841fa0d,2025-01-17,AAPL,BUY,442.425157,228.9445,101290.8063567865,REBALANCE_BUY,,"Rebalance buy, drift -16.7142%"
e9c379bd-e989-4762-b44d-93dbbfc2f8dd,2025-01-24,AAPL,BUY,277.391926,221.777,61519.149172502,REBALANCE_BUY,,"Rebalance buy, drift -7.2088%"
5994918b-8504-46e7-a6b2-6d4e6cadb742,2025-01-31,NVDA,SELL,1400.788265,120.0372,168146.701123458,TLH_SELL,4b9e3f6a-cf34-4a8d-bf0b-55f01e372608,"TLH harvest, loss $25543.37"
a8e4cd48-5628-4fb1-8b32-d3c5f8b17c8d,2025-01-31,NVDA,BUY,833.799377,120.0372,100086.9425768244,REBALANCE_BUY,,"Rebalance buy, drift -19.5647%"
